Current Works for Round 1:
1 Points: 90.6166666666667 Nominations: 193
2 Points: 67.3333333333333 Nominations: 138
3 Points: 63.35 Nominations: 135
4 Points: 62.5 Nominations: 133
5 Points: 61.3166666666667 Nominations: 118
6 Points: 48.5166666666667 Nominations: 101
7 Points: 43.9666666666667 Nominations: 91
8 Points: 42.7333333333333 Nominations: 90
9 Points: 31.2333333333333 Nominations: 74
10 Points: 30.65 Nominations: 69
11 Points: 36.2333333333333 Nominations: 68
12 Points: 33.9833333333333 Nominations: 62
13 Points: 27.2333333333333 Nominations: 61
14 Points: 26.8166666666667 Nominations: 58
15 Points: 26.7 Nominations: 56
16 Points: 23.2333333333333 Nominations: 55
17 Points: 27.7166666666667 Nominations: 54
18 Points: 26.7 Nominations: 53
19 Points: 21.65 Nominations: 52
20 Points: 21.8666666666667 Nominations: 50
21 Points: 24.3166666666667 Nominations: 50
22 Points: 23.6833333333333 Nominations: 50
23 Points: 21 Nominations: 50
24 Points: 22.8333333333333 Nominations: 50
25 Points: 24.9833333333333 Nominations: 50
26 Points: 0.583333333333333 Nominations: 2
27 Points: 0.25 Nominations: 1
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 16.2833333333333 Nominations: 75
34 Points: 15.2833333333333 Nominations: 74
35 Points: 14.7833333333333 Nominations: 73
36 Points: 14.45 Nominations: 72
37 Points: 14.2 Nominations: 71

Results of Round: 1
Work(s) Eliminated: 
27 Points: 0.25 Nominations: 1

Current Works for Round 2:
1 Points: 90.6166666666667 Nominations: 193
2 Points: 67.3333333333333 Nominations: 138
3 Points: 63.4333333333333 Nominations: 135
4 Points: 62.5 Nominations: 133
5 Points: 61.4 Nominations: 118
6 Points: 48.5166666666667 Nominations: 101
7 Points: 43.9666666666667 Nominations: 91
8 Points: 42.7333333333333 Nominations: 90
9 Points: 31.3166666666667 Nominations: 74
10 Points: 30.65 Nominations: 69
11 Points: 36.2333333333333 Nominations: 68
12 Points: 33.9833333333333 Nominations: 62
13 Points: 27.2333333333333 Nominations: 61
14 Points: 26.8166666666667 Nominations: 58
15 Points: 26.7 Nominations: 56
16 Points: 23.2333333333333 Nominations: 55
17 Points: 27.7166666666667 Nominations: 54
18 Points: 26.7 Nominations: 53
19 Points: 21.65 Nominations: 52
20 Points: 21.8666666666667 Nominations: 50
21 Points: 24.3166666666667 Nominations: 50
22 Points: 23.6833333333333 Nominations: 50
23 Points: 21 Nominations: 50
24 Points: 22.8333333333333 Nominations: 50
25 Points: 24.9833333333333 Nominations: 50
26 Points: 0.583333333333333 Nominations: 2
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 16.2833333333333 Nominations: 75
34 Points: 15.2833333333333 Nominations: 74
35 Points: 14.7833333333333 Nominations: 73
36 Points: 14.45 Nominations: 72
37 Points: 14.2 Nominations: 71

Results of Round: 2
Work(s) Eliminated: 
26 Points: 0.583333333333333 Nominations: 2

Current Works for Round 3:
1 Points: 90.7000000000001 Nominations: 193
2 Points: 67.3333333333333 Nominations: 138
3 Points: 63.6 Nominations: 135
4 Points: 62.5833333333333 Nominations: 133
5 Points: 61.4 Nominations: 118
6 Points: 48.5166666666667 Nominations: 101
7 Points: 43.9666666666667 Nominations: 91
8 Points: 42.7333333333333 Nominations: 90
9 Points: 31.3166666666667 Nominations: 74
10 Points: 30.65 Nominations: 69
11 Points: 36.2333333333333 Nominations: 68
12 Points: 33.9833333333333 Nominations: 62
13 Points: 27.2333333333333 Nominations: 61
14 Points: 26.8166666666667 Nominations: 58
15 Points: 26.7 Nominations: 56
16 Points: 23.2333333333333 Nominations: 55
17 Points: 27.7166666666667 Nominations: 54
18 Points: 26.7 Nominations: 53
19 Points: 21.7333333333333 Nominations: 52
20 Points: 21.8666666666667 Nominations: 50
21 Points: 24.3166666666667 Nominations: 50
22 Points: 23.6833333333333 Nominations: 50
23 Points: 21.1666666666667 Nominations: 50
24 Points: 22.8333333333333 Nominations: 50
25 Points: 24.9833333333333 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 16.2833333333333 Nominations: 75
34 Points: 15.2833333333333 Nominations: 74
35 Points: 14.7833333333333 Nominations: 73
36 Points: 14.45 Nominations: 72
37 Points: 14.2 Nominations: 71

Results of Round: 3
Work(s) Eliminated: 
37 Points: 14.2 Nominations: 71

Current Works for Round 4:
1 Points: 90.7000000000001 Nominations: 193
2 Points: 67.3333333333333 Nominations: 138
3 Points: 63.6 Nominations: 135
4 Points: 62.5833333333333 Nominations: 133
5 Points: 61.4 Nominations: 118
6 Points: 48.5166666666667 Nominations: 101
7 Points: 43.9666666666667 Nominations: 91
8 Points: 42.7333333333333 Nominations: 90
9 Points: 31.3166666666667 Nominations: 74
10 Points: 30.65 Nominations: 69
11 Points: 36.2333333333333 Nominations: 68
12 Points: 33.9833333333333 Nominations: 62
13 Points: 27.2333333333333 Nominations: 61
14 Points: 26.8166666666667 Nominations: 58
15 Points: 26.7 Nominations: 56
16 Points: 23.2333333333333 Nominations: 55
17 Points: 27.7166666666667 Nominations: 54
18 Points: 26.7 Nominations: 53
19 Points: 21.7333333333333 Nominations: 52
20 Points: 21.8666666666667 Nominations: 50
21 Points: 24.3166666666667 Nominations: 50
22 Points: 23.6833333333333 Nominations: 50
23 Points: 21.1666666666667 Nominations: 50
24 Points: 22.8333333333333 Nominations: 50
25 Points: 24.9833333333333 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 19.8333333333333 Nominations: 75
34 Points: 18.8333333333333 Nominations: 74
35 Points: 18.3333333333333 Nominations: 73
36 Points: 18 Nominations: 72

Results of Round: 4
Work(s) Eliminated: 
36 Points: 18 Nominations: 72

Current Works for Round 5:
1 Points: 90.7000000000001 Nominations: 193
2 Points: 67.3333333333333 Nominations: 138
3 Points: 63.6 Nominations: 135
4 Points: 62.5833333333333 Nominations: 133
5 Points: 61.4 Nominations: 118
6 Points: 48.5166666666667 Nominations: 101
7 Points: 43.9666666666667 Nominations: 91
8 Points: 42.7333333333333 Nominations: 90
9 Points: 31.3166666666667 Nominations: 74
10 Points: 30.65 Nominations: 69
11 Points: 36.2333333333333 Nominations: 68
12 Points: 33.9833333333333 Nominations: 62
13 Points: 27.2333333333333 Nominations: 61
14 Points: 26.8166666666667 Nominations: 58
15 Points: 26.7 Nominations: 56
16 Points: 23.2333333333333 Nominations: 55
17 Points: 27.7166666666667 Nominations: 54
18 Points: 26.7 Nominations: 53
19 Points: 21.7333333333333 Nominations: 52
20 Points: 21.8666666666667 Nominations: 50
21 Points: 24.3166666666667 Nominations: 50
22 Points: 23.6833333333333 Nominations: 50
23 Points: 21.1666666666667 Nominations: 50
24 Points: 22.8333333333333 Nominations: 50
25 Points: 24.9833333333333 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 25.8333333333333 Nominations: 75
34 Points: 24.8333333333333 Nominations: 74
35 Points: 24.3333333333333 Nominations: 73

Results of Round: 5
Work(s) Eliminated: 
23 Points: 21.1666666666667 Nominations: 50

Current Works for Round 6:
1 Points: 92.5833333333334 Nominations: 193
2 Points: 68.9666666666667 Nominations: 138
3 Points: 65.4 Nominations: 135
4 Points: 63.55 Nominations: 133
5 Points: 61.7833333333333 Nominations: 118
6 Points: 48.9833333333333 Nominations: 101
7 Points: 44.4833333333333 Nominations: 91
8 Points: 43.4833333333333 Nominations: 90
9 Points: 31.7 Nominations: 74
10 Points: 31.1166666666667 Nominations: 69
11 Points: 36.8666666666667 Nominations: 68
12 Points: 34.3666666666667 Nominations: 62
13 Points: 27.4833333333333 Nominations: 61
14 Points: 27.15 Nominations: 58
15 Points: 26.75 Nominations: 56
16 Points: 23.9833333333333 Nominations: 55
17 Points: 28.4333333333333 Nominations: 54
18 Points: 27.3333333333333 Nominations: 53
19 Points: 22 Nominations: 52
20 Points: 22.4166666666667 Nominations: 50
21 Points: 24.8166666666667 Nominations: 50
22 Points: 24.0333333333333 Nominations: 50
24 Points: 23.25 Nominations: 50
25 Points: 25.0666666666667 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 25.8333333333333 Nominations: 75
34 Points: 24.8333333333333 Nominations: 74
35 Points: 24.3333333333333 Nominations: 73

Results of Round: 6
Work(s) Eliminated: 
20 Points: 22.4166666666667 Nominations: 50

Current Works for Round 7:
1 Points: 94.0833333333334 Nominations: 193
2 Points: 70.3833333333334 Nominations: 138
3 Points: 67.15 Nominations: 135
4 Points: 64.3 Nominations: 133
5 Points: 62.2 Nominations: 118
6 Points: 49.9833333333333 Nominations: 101
7 Points: 46.2333333333333 Nominations: 91
8 Points: 44.15 Nominations: 90
9 Points: 31.8666666666667 Nominations: 74
10 Points: 31.2833333333333 Nominations: 69
11 Points: 37.0333333333333 Nominations: 68
12 Points: 34.95 Nominations: 62
13 Points: 28.15 Nominations: 61
14 Points: 28.0666666666667 Nominations: 58
15 Points: 28 Nominations: 56
16 Points: 25.0666666666667 Nominations: 55
17 Points: 28.6 Nominations: 54
18 Points: 28.3333333333333 Nominations: 53
19 Points: 22 Nominations: 52
21 Points: 24.9 Nominations: 50
22 Points: 24.45 Nominations: 50
24 Points: 23.5833333333333 Nominations: 50
25 Points: 25.2333333333333 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 25.8333333333333 Nominations: 75
34 Points: 24.8333333333333 Nominations: 74
35 Points: 24.3333333333333 Nominations: 73

Results of Round: 7
Work(s) Eliminated: 
24 Points: 23.5833333333333 Nominations: 50

Current Works for Round 8:
1 Points: 96.5 Nominations: 193
2 Points: 71.3833333333333 Nominations: 138
3 Points: 68.0666666666667 Nominations: 135
4 Points: 66.3833333333333 Nominations: 133
5 Points: 63.45 Nominations: 118
6 Points: 50.2333333333333 Nominations: 101
7 Points: 47.8166666666667 Nominations: 91
8 Points: 44.8166666666667 Nominations: 90
